id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18013093,Edinburgh Modern Seaside Apartment,123842476,Graeme,,Portobello,55.95832,-3.12039,Entire home/apt,99,1,9,2018-12-28,0.35,1,240
18017276,"Large Dob. Room. Old Town, Edinburgh",15001606,Dave,,"Old Town, Princes Street and Leith Street",55.94837,-3.19805,Private room,55,2,74,2019-06-23,2.76,2,3
18018325,Double room with private bathroom - parking & gym,16543969,Garry,,Broughton South,55.96777,-3.1845,Private room,40,1,71,2018-09-20,2.68,7,0
18019419,King size bed in boutique style bedroom,70798798,Laura,,Bruntsfield,55.9377,-3.20823,Private room,65,1,21,2019-06-17,0.79,2,0
18020955,Sunny Double Room in Central Flat!,12673355,Jennie,,Bruntsfield,55.94047,-3.21247,Private room,34,3,73,2019-06-18,2.75,1,3
18031252,Large and Luxurious Flat on Vibrant Leith Walk,124007237,Stephen,,Leith (Albert Street),55.96505,-3.17638,Entire home/apt,65,3,30,2019-06-13,1.19,1,104
18032528,Luxury Villa 20 min Edinburgh Castle & Royal Mile,74003555,Sarah,,The Grange,55.92741,-3.19204,Entire home/apt,280,3,19,2018-06-12,0.73,1,209
18035193,"Spacious, bright 2 bed apartment, sleeps 5.",7034809,Alison,,Polwarth,55.93947,-3.22242,Entire home/apt,80,3,91,2019-06-19,3.64,1,22
18036287,"Leith, Edinburgh - 2 bedroom flat",85719708,Clair,,South Leith,55.96673,-3.16786,Entire home/apt,65,2,172,2019-06-21,6.68,1,201
18039298,"West End Cottage Ratho,Twin Room close to airport.",21566561,Nick,,"Ratho, Ingliston and Gogar",55.92155,-3.38671,Private room,50,2,11,2018-08-29,0.41,2,0
18040205,Edinburgh - Private double room (Portobello Beach),124119065,Louise,,Joppa,55.94593,-3.10294,Private room,50,2,15,2019-06-09,0.66,1,330
18048029,'Sunshine in Leith' little gem of a space/wifi,25582308,Rick&Fiona,,South Leith,55.96659,-3.17489,Entire home/apt,80,2,31,2019-01-03,1.18,4,330
18048444,Tower Place Posh,122342106,Andrew,,The Shore and Constitution Street,55.97878,-3.1679,Entire home/apt,95,1,30,2018-08-24,1.19,3,364
18049085,Double room in a Central Flat,123860399,Miguel,,Dalry and Fountainbridge,55.94395,-3.21891,Private room,70,5,7,2017-08-26,0.26,2,90
18049556,Single Furnished Room In Lovely Lower Villa,124214887,Mark,,Stenhouse and Saughton Mains,55.93068,-3.25877,Private room,15,3,15,2019-06-13,0.55,1,259
